last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Stanton, Giancarlo,519317,2020,.299,.529,.412,.427,.231,91.1,8.3,18.4,
Thames, Eric,519346,2020,.219,.379,.305,.314,.160,88.7,14.6,6.2,
Flores, Wilmer,527038,2020,.249,.434,.312,.297,.185,87.9,19,6.1,
Garcia, Avisail,541645,2020,.244,.375,.321,.339,.131,87.4,8.7,3.8,
Ozuna, Marcell,542303,2020,.312,.633,.435,.410,.320,93,16.4,15.4,
Santana, Danny,542454,2020,.181,.347,.281,.277,.166,90.9,14.7,9.4,
Grossman, Robbie,543257,2020,.239,.397,.326,.342,.158,89,15.2,5.5,
Hosmer, Eric,543333,2020,.287,.517,.366,.336,.229,90.8,8.7,10.3,
Kipnis, Jason,543401,2020,.180,.332,.282,.293,.152,86.2,18.2,9.3,
McCann, James,543510,2020,.256,.455,.343,.336,.198,90.5,15,8.7,
Miller, Brad,543543,2020,.252,.481,.377,.377,.229,89.8,11.2,13.4,
Strange-Gordon, Dee,543829,2020,.229,.262,.259,.294,.034,79.2,14.1,0,
Gregorius, Didi,544369,2020,.262,.394,.310,.321,.132,83.8,17.8,4.2,
Garcia, Leury,544725,2020,.261,.450,.327,.308,.189,87.3,7.5,6,
Vargas, Ildemaro,545121,2020,.202,.280,.228,.231,.079,85.3,2.1,2.4,
Stassi, Max,545358,2020,.267,.559,.385,.350,.292,91.6,15,11.1,
Perez, Roberto,547379,2020,.198,.281,.267,.293,.082,86,-2.5,3.4,
Abreu, Jose,547989,2020,.299,.587,.398,.357,.288,92.9,10.9,14.3,
Narvaez, Omar,553882,2020,.172,.294,.269,.291,.121,81.6,18.7,7.2,
Suarez, Eugenio,553993,2020,.216,.472,.341,.325,.255,89.1,17.9,14.4,
Gonzalez, Erik,570481,2020,.236,.394,.292,.274,.157,88.5,5.5,6.7,
Goodwin, Brian,571718,2020,.212,.381,.298,.299,.169,89.9,20.7,10.9,
Naquin, Tyler,571980,2020,.263,.469,.323,.292,.206,91.7,13,9.5,
Voit III, Luke,572228,2020,.279,.584,.388,.340,.305,88.9,15.2,13.1,
Zunino, Mike,572287,2020,.146,.365,.264,.237,.219,87.5,26.9,15.8,
Contreras, Willson,575929,2020,.249,.440,.356,.361,.192,89.8,9.1,10.4,
Osuna, Jose,591741,2020,.266,.472,.330,.302,.206,89.1,14.7,12.9,
Bryant, Kris,592178,2020,.201,.344,.282,.288,.143,86.1,20.7,5.5,
Goodrum, Niko,592348,2020,.183,.336,.265,.263,.152,88.8,16,9.8,
Jones, JaCoby,592444,2020,.240,.425,.321,.310,.185,89.5,11,10.9,
Machado, Manny,592518,2020,.302,.536,.384,.374,.234,90.2,15.6,11,
Marmolejos, Jose,592530,2020,.227,.441,.317,.281,.213,90.5,10.5,12,
Renfroe, Hunter,592669,2020,.191,.394,.296,.283,.203,89.4,17.3,9.3,
Bogaerts, Xander,593428,2020,.257,.468,.339,.325,.211,89,8.7,8.6,
Alfaro, Jorge,595751,2020,.220,.379,.283,.275,.159,89.2,2.8,7,
Profar, Jurickson,595777,2020,.279,.406,.334,.347,.127,87.2,11,3.2,
Smith Jr., Dwight,596105,2020,.193,.303,.259,.281,.110,89.9,8.1,6.7,
Kepler, Max,596146,2020,.256,.422,.342,.347,.166,88.5,21.9,5.1,
Quinn, Roman,596451,2020,.208,.280,.243,.257,.071,85.8,9.7,2.9,
Choi, Ji-Man,596847,2020,.190,.298,.272,.303,.108,89,15.7,3.4,
Candelario, Jeimer,600869,2020,.275,.466,.353,.349,.191,90.2,13.3,10.3,
Barnes, Austin,605131,2020,.193,.279,.274,.310,.086,86.9,16.2,1.5,
Betts, Mookie,605141,2020,.281,.481,.359,.356,.200,90.7,18.5,7.7,
Starling, Bubba,605490,2020,.191,.250,.223,.241,.059,84.2,8.1,3,
Castro, Harold,605612,2020,.274,.406,.330,.341,.132,89,11.6,2.6,
Tapia, Raimel,606132,2020,.251,.331,.290,.310,.080,85.3,1.8,2,
Greiner, Grayson,606988,2020,.183,.369,.264,.243,.186,90,25.1,9.7,
Pillar, Kevin,607680,2020,.268,.427,.323,.317,.159,87.1,13.4,5.4,
Bregman, Alex,608324,2020,.252,.391,.333,.359,.139,88.9,17.3,3.9,
Winker, Jesse,608385,2020,.263,.520,.395,.395,.257,92.1,10.5,13.5,
Mazara, Nomar,608577,2020,.222,.364,.291,.290,.142,91,6.7,7.6,
Mondesi, Adalberto,609275,2020,.213,.353,.266,.254,.140,90.6,13.7,7.3,
Correa, Carlos,621043,2020,.254,.401,.314,.319,.147,88.6,11.4,5.9,
Brinson, Lewis,621446,2020,.246,.382,.292,.287,.135,88.1,7.9,7.9,
Rios, Edwin,621458,2020,.278,.623,.392,.327,.345,91.5,14.5,13.6,
Ward, Taylor,621493,2020,.250,.396,.309,.308,.146,91.1,10.4,4.5,
Bemboom, Anthony,621532,2020,.198,.315,.294,.323,.117,86.7,11.8,2.6,
Olson, Matt,621566,2020,.221,.447,.336,.332,.226,92.3,19.6,12.8,
Reyes, Victor,622682,2020,.286,.428,.331,.323,.142,90,10.7,3.8,
Velazquez, Andrew,623205,2020,.150,.228,.237,.266,.078,82.4,6.7,4.5,
Bote, David,623520,2020,.232,.414,.328,.332,.182,92.4,9.3,10.5,
Arroyo, Christian,624414,2020,.224,.409,.300,.281,.186,89.9,7.8,7.7,
Biggio, Cavan,624415,2020,.214,.343,.315,.345,.129,87.4,16.7,5,
Conforto, Michael,624424,2020,.284,.478,.375,.379,.194,88.4,11,11,
Frazier, Clint,640449,2020,.246,.447,.367,.377,.200,89.4,11.6,12.5,
Meadows, Austin,640457,2020,.177,.332,.270,.273,.154,90.1,24.4,7.1,
Pinder, Chad,640461,2020,.242,.451,.325,.304,.209,92.3,13.7,9.3,
Bellinger, Cody,641355,2020,.280,.487,.372,.369,.207,89.3,16.6,9.4,
Garver, Mitch,641598,2020,.170,.278,.240,.250,.108,92.4,18.6,8.3,
Guillorme, Luis,641645,2020,.247,.337,.317,.357,.090,89.8,10.7,2.4,
Locastro, Tim,641796,2020,.271,.377,.344,.379,.106,85.6,17.3,1.8,
Nottingham, Jacob,641924,2020,.193,.401,.300,.283,.208,87,20.1,14.3,
Tellez, Rowdy,642133,2020,.273,.490,.356,.340,.217,90.7,10.6,8.4,
White, Eli,642201,2020,.224,.297,.259,.272,.073,88.1,15.4,3,
Albies, Ozzie,645277,2020,.240,.417,.299,.277,.177,86.7,17.8,9.1,
Urias, Luis,649966,2020,.223,.290,.268,.294,.067,87.7,2.3,1.3,
Chavis, Michael,656308,2020,.223,.388,.293,.274,.165,88.3,10,7.1,
Luplow, Jordan,656669,2020,.199,.362,.300,.311,.163,83.5,24.7,6.7,
Mullins II, Cedric,656775,2020,.214,.296,.251,.261,.083,88.6,15.6,2.8,
Tucker, Kyle,663656,2020,.265,.453,.331,.322,.188,91.1,14.9,9.1,
Bart, Joey,663698,2020,.200,.292,.248,.258,.092,89,12.6,4.8,
Happ, Ian,664023,2020,.258,.462,.358,.361,.204,91.1,9,10.3,
Mendick, Danny,664901,2020,.220,.308,.261,.261,.089,86.2,7.4,2.4,
Tatis Jr., Fernando,665487,2020,.296,.608,.419,.385,.312,95.9,8.7,19.5,
Guerrero Jr., Vladimir,665489,2020,.260,.437,.331,.327,.177,92.5,4.6,8.7,
Gimenez, Andres,665926,2020,.247,.361,.305,.320,.113,86.8,13.5,3.3,
Kieboom, Carter,666198,2020,.180,.220,.280,.330,.040,85.1,11.9,0,
Dalbec, Bobby,666915,2020,.197,.529,.356,.301,.333,89.9,14.8,22,
Arozarena, Randy,668227,2020,.253,.496,.369,.359,.243,90.3,9.2,14,
Hays, Austin,669720,2020,.243,.352,.290,.297,.109,87,11,4,
Brosseau, Mike,670712,2020,.223,.415,.314,.308,.192,90.9,15.1,8.9,
Garcia, Luis,671277,2020,.267,.377,.296,.293,.110,83.5,-3.6,4.8,
Akiyama, Shogo,673451,2020,.243,.324,.313,.355,.081,85.1,2.9,0.8,
